daytime,time,mid
20170329.0,205000.0,110.923
20170329.0,205500.0,110.771
20170329.0,210000.0,110.828
20170329.0,210500.0,110.782
20170329.0,211000.0,110.9
20170329.0,211500.0,110.879
20170329.0,212000.0,110.91
20170329.0,212500.0,110.886
20170329.0,213000.0,110.944
20170329.0,213500.0,110.916
20170329.0,214000.0,110.866
20170329.0,214500.0,110.841
20170329.0,215000.0,110.802
20170329.0,215500.0,110.815
20170329.0,220000.0,110.851
20170329.0,220500.0,110.873
20170329.0,221000.0,110.888
20170329.0,221500.0,110.939
20170329.0,222000.0,110.984
20170329.0,222500.0,110.95
20170329.0,223000.0,110.93
20170329.0,223500.0,110.845
20170329.0,224000.0,110.861
20170329.0,224500.0,110.853
20170329.0,225000.0,110.805
20170329.0,225500.0,110.844
20170329.0,230000.0,110.899
20170329.0,230500.0,110.891
20170329.0,231000.0,110.92
20170329.0,231500.0,110.969
20170329.0,232000.0,110.937
20170329.0,232500.0,110.854
20170329.0,233000.0,110.882
20170329.0,233500.0,110.955
20170329.0,234000.0,110.949
20170329.0,234500.0,110.951
20170329.0,235000.0,111.065
20170329.0,235500.0,111.058
20170330.0,0.0,111.014
20170330.0,500.0,110.976
20170330.0,1000.0,110.956
20170330.0,1500.0,110.958
20170330.0,2000.0,110.917
20170330.0,2500.0,110.954
20170330.0,3000.0,110.933
20170330.0,3500.0,110.995
20170330.0,4000.0,111.039
20170330.0,4500.0,111.076
20170330.0,5000.0,111.098
20170330.0,5500.0,111.059
20170330.0,10000.0,111.052
20170330.0,10500.0,111.048
20170330.0,11000.0,111.08
20170330.0,11600.0,111.096
20170330.0,12500.0,111.135
20170330.0,12600.0,111.132
20170330.0,12700.0,111.127
20170330.0,13000.0,111.139
20170330.0,13500.0,111.099
20170330.0,14000.0,111.083
20170330.0,14500.0,111.08
20170330.0,15000.0,111.031
20170330.0,15500.0,111.046
20170330.0,20000.0,111.039
20170330.0,20500.0,111.049
20170330.0,21000.0,111.026
20170330.0,21500.0,111.021
20170330.0,22000.0,111.036
20170330.0,22500.0,110.972
20170330.0,23000.0,111.003
20170330.0,23500.0,111.037
20170330.0,24000.0,111.012
20170330.0,24500.0,111.027
20170330.0,25000.0,111.006
20170330.0,25500.0,111.027
20170330.0,30000.0,111.096
20170330.0,30500.0,111.111
20170330.0,31000.0,111.1
20170330.0,31500.0,111.106
20170330.0,32000.0,111.115
20170330.0,32500.0,111.126
20170330.0,33000.0,111.127
20170330.0,33500.0,111.106
20170330.0,34000.0,111.082
20170330.0,34500.0,111.069
20170330.0,35000.0,111.078
20170330.0,35500.0,111.064
20170330.0,40000.0,111.051
20170330.0,40500.0,111.028
20170330.0,41000.0,111.029
20170330.0,41500.0,111.016
20170330.0,42000.0,110.952
20170330.0,42500.0,110.977
20170330.0,43000.0,111.012
20170330.0,43500.0,111.04
20170330.0,44000.0,111.008
20170330.0,44500.0,110.954
20170330.0,45000.0,110.944
20170330.0,45500.0,110.95
20170330.0,50000.0,110.972
20170330.0,50500.0,111.027
20170330.0,51000.0,111.025
20170330.0,51500.0,111.038
20170330.0,52000.0,111.032
20170330.0,52500.0,111.034
20170330.0,53000.0,111.019
20170330.0,53500.0,111.022
20170330.0,54000.0,111.021
20170330.0,54500.0,111.017
20170330.0,55000.0,111.015
20170330.0,55500.0,111.035
20170330.0,60000.0,111.048
20170330.0,60500.0,111.019
20170330.0,61000.0,111.006
20170330.0,61500.0,111.008
20170330.0,62000.0,111.038
20170330.0,62500.0,111.022
20170330.0,63000.0,111.032
20170330.0,63500.0,111.037
20170330.0,64000.0,111.024
20170330.0,64500.0,111.031
20170330.0,65000.0,111.039
20170330.0,65500.0,111.019
20170330.0,70000.0,111.02
20170330.0,70500.0,111.024
20170330.0,71000.0,111.029
20170330.0,71500.0,111.051
20170330.0,72000.0,111.085
20170330.0,72500.0,111.1
20170330.0,73000.0,111.061
20170330.0,73500.0,111.045
20170330.0,74000.0,111.037
20170330.0,74500.0,111.022
20170330.0,75000.0,111.091
20170330.0,75500.0,111.1
20170330.0,80000.0,111.102
20170330.0,80500.0,111.12
20170330.0,81000.0,111.118
20170330.0,81500.0,111.107
20170330.0,82000.0,111.115
20170330.0,82500.0,111.104
20170330.0,83000.0,111.052
20170330.0,83500.0,111.081
20170330.0,84000.0,111.114
20170330.0,84500.0,111.104
20170330.0,85000.0,111.112
20170330.0,85500.0,111.114
20170330.0,90000.0,111.141
20170330.0,90500.0,111.178
20170330.0,91000.0,111.216
20170330.0,91500.0,111.236
20170330.0,92000.0,111.269
20170330.0,92500.0,111.243
20170330.0,93000.0,111.221
20170330.0,93500.0,111.235
20170330.0,94000.0,111.234
20170330.0,94500.0,111.184
20170330.0,95000.0,111.197
20170330.0,95500.0,111.331
